item,tier,pop_decile,train_pop,exposures,hits20_noobj_s0,hits20_noobj_s1,hits20_noobj_s2,hits20_control_s0,hits20_control_s1,hits20_control_s2,hits20_shufobj_s0,hits20_shufobj_s1,hits20_shufobj_s2
9260,exact,6,7,1,0,0,0,0,0,0,0,0,0
9261,near,9,30,14,0,0,0,0,0,0,0,0,1
9262,near,5,6,3,0,0,0,0,0,0,0,0,0
9263,near,6,8,2,0,0,0,0,0,0,0,0,0
9264,exact,8,15,2,0,0,0,0,0,0,0,0,0
9265,near,8,19,5,0,0,0,0,0,0,0,0,0
9266,exact,7,9,3,0,0,0,0,0,0,0,0,0
9267,exact,3,4,1,0,0,0,0,0,0,0,0,0
9268,exact,8,14,3,0,0,0,0,0,0,0,0,0
9269,exact,3,4,3,0,0,0,0,0,0,0,0,0
9270,near,1,2,1,0,0,0,0,0,0,0,0,0
9271,far,5,5,2,0,0,0,0,0,0,0,0,0
9272,near,9,25,12,0,0,1,0,0,0,0,0,0
9274,near,1,2,1,0,0,0,0,0,0,0,0,0
9275,near,8,14,5,0,0,0,0,0,0,0,0,0
9276,near,7,11,7,0,0,0,0,0,0,0,0,0
9277,near,8,15,9,0,0,0,0,0,0,0,0,0
9278,exact,3,4,1,0,0,0,0,0,0,0,0,0
9279,exact,0,1,3,0,0,0,0,0,0,0,0,0
9280,exact,2,3,3,0,0,0,0,0,0,0,0,0
9281,exact,0,1,2,0,0,0,0,0,0,0,0,0
9282,near,6,7,3,0,0,0,0,0,0,0,0,0
9283,exact,1,2,2,0,0,0,0,0,0,0,0,0
9284,exact,8,14,2,0,0,0,0,0,0,0,0,0
9285,exact,6,7,7,0,0,0,0,0,0,0,0,0
9287,near,2,3,4,0,0,0,0,0,0,0,0,0
9288,far,5,6,1,0,0,0,0,0,0,0,0,0
9289,near,3,4,2,0,0,0,0,0,0,0,0,0
9290,exact,9,27,10,0,0,0,0,0,0,0,0,0
9291,near,2,3,1,0,0,0,0,0,0,0,0,0
9293,exact,8,16,2,0,0,0,0,0,0,0,0,0
9294,near,7,9,3,0,0,0,0,0,0,0,0,0
9296,exact,2,3,1,0,0,0,0,0,0,0,0,0
9297,near,2,3,1,0,0,0,0,0,0,0,0,0
9298,near,1,2,3,0,0,0,0,0,0,0,0,0
9299,exact,2,3,2,0,0,0,0,0,0,0,0,0
9300,exact,5,6,3,0,0,0,0,0,0,0,0,0
9301,exact,3,4,3,0,0,0,0,0,0,0,0,0
9302,near,1,2,3,0,0,0,0,0,0,0,0,0
9303,near,7,11,3,0,0,0,0,0,0,0,0,0
9304,exact,5,6,4,0,0,0,0,0,0,0,0,0
9305,exact,9,69,7,1,1,1,1,1,1,1,1,2
9306,exact,3,4,3,0,0,0,0,0,0,0,0,0
9307,exact,9,46,14,3,4,6,3,7,5,3,7,7
9308,near,0,1,2,0,0,0,0,0,0,0,0,0
9310,far,2,3,1,0,0,0,0,0,0,0,0,0
9311,near,2,3,2,0,0,0,0,0,0,0,0,0
9312,exact,1,2,2,0,0,0,0,0,0,0,0,0
9313,exact,2,3,1,0,0,0,0,0,0,0,0,0
9314,near,2,3,5,0,0,0,0,0,0,0,0,0
9315,near,2,3,2,0,0,0,0,0,0,0,0,0
9316,exact,0,1,1,0,0,0,0,0,0,0,0,0
9318,far,5,5,1,0,0,0,0,0,0,0,0,0
9319,exact,9,37,11,0,0,0,0,0,1,0,0,0
9320,exact,9,34,11,1,1,0,2,1,0,1,0,0
9321,near,9,38,17,0,0,0,0,0,0,0,0,0
9322,exact,3,4,1,0,0,0,0,0,0,0,0,0
9323,exact,8,13,6,0,0,0,0,0,0,0,0,0
9324,far,7,9,3,0,0,0,0,0,0,0,0,0
9325,exact,5,6,2,0,0,0,0,0,0,0,0,0
9326,exact,1,2,2,0,0,0,0,0,0,0,0,0
9327,exact,1,2,2,0,0,0,0,0,0,0,0,0
9328,far,3,4,1,0,0,0,0,0,0,0,0,0
9329,near,5,5,3,0,0,0,0,0,0,0,0,0
9330,far,7,9,4,0,0,0,0,0,0,0,0,0
9331,near,8,19,3,0,0,0,0,0,0,0,0,0
9332,exact,8,14,7,0,0,0,0,0,0,0,0,0
9333,near,3,4,1,0,0,0,0,0,0,0,0,0
9335,exact,7,9,3,0,0,0,0,0,0,0,0,0
9337,near,2,3,3,0,0,0,0,0,0,0,0,0
9338,near,8,14,8,0,0,0,0,0,0,0,0,0
9339,near,9,31,14,0,0,0,1,1,1,0,0,1
9340,near,5,5,2,0,0,0,0,0,0,0,0,0
9341,near,7,9,6,0,1,0,0,1,0,0,1,0
9342,exact,3,4,4,0,0,0,0,0,0,0,0,0
