arm,seed,epoch,loss,bpr_loss,emb_loss,epoch_seconds
LATTICE (image+text),1,137,0.67004,0.63768,0.03236,3.1
LATTICE (image+text),1,138,0.64782,0.61534,0.03247,3.1
LATTICE (image+text),1,139,0.6324,0.5999,0.0325,3.1
LATTICE (image+text),1,140,0.62118,0.58851,0.03267,3.1
LATTICE (image+text),1,141,0.61978,0.587,0.03277,3.1
LATTICE (image+text),1,142,0.61913,0.58628,0.03285,3.1
LATTICE (image+text),1,143,0.5971,0.56414,0.03296,3.1
LATTICE (image+text),1,144,0.57552,0.54251,0.03301,3.1
LATTICE (image+text),1,145,0.57045,0.5373,0.03315,3.1
LATTICE (image+text),1,146,0.5764,0.54318,0.03321,3.1
LATTICE (image+text),1,147,0.57098,0.53764,0.03334,3.1
LATTICE (image+text),1,148,0.55951,0.52613,0.03338,3.1
LATTICE (image+text),1,149,0.53776,0.50424,0.03352,3.1
LATTICE (image+text),1,150,0.53399,0.50043,0.03356,3.1
LATTICE (image+text),1,151,0.49459,0.4609,0.03369,3.1
LATTICE (image+text),1,152,0.52687,0.49314,0.03374,3.1
LATTICE (image+text),1,153,0.50507,0.47123,0.03384,3.1
LATTICE (image+text),1,154,0.48503,0.4511,0.03393,3.1
LATTICE (image+text),1,155,0.47726,0.44321,0.03405,3.1
LATTICE (image+text),1,156,0.47622,0.44213,0.0341,3.1
LATTICE (image+text),1,157,0.48351,0.4493,0.03421,3.2
LATTICE (image+text),1,158,0.46998,0.43571,0.03427,3.1
LATTICE (image+text),1,159,0.44924,0.41487,0.03437,3.1
LATTICE (image+text),1,160,0.48068,0.44623,0.03445,3.1
LATTICE (image+text),1,161,0.4281,0.39358,0.03452,3.1
LATTICE (image+text),1,162,0.45324,0.41864,0.0346,3.1
LATTICE (image+text),1,163,0.42461,0.3899,0.0347,3.1
LATTICE (image+text),1,164,0.42772,0.39295,0.03477,3.1
LATTICE (image+text),1,165,0.42755,0.39269,0.03485,3.1
LATTICE (image+text),1,166,0.43842,0.40352,0.0349,3.1
LATTICE (image+text),1,167,0.41524,0.38025,0.03499,3.1
LATTICE (image+text),1,168,0.40561,0.37055,0.03506,3.1
LATTICE (image+text),1,169,0.41418,0.37902,0.03516,3.2
LATTICE (image+text),1,170,0.39325,0.35802,0.03523,3.1
LATTICE (image+text),1,171,0.38623,0.35089,0.03534,3.1
LATTICE (image+text),1,172,0.39061,0.35527,0.03534,3.1
LATTICE (image+text),1,173,0.4028,0.36735,0.03546,3.1
LATTICE (image+text),1,174,0.38049,0.34497,0.03552,3.1
LATTICE (image+text),1,175,0.38815,0.35254,0.03562,3.1
LATTICE (image+text),1,176,0.35738,0.32168,0.0357,3.1
LATTICE (image+text),1,177,0.37514,0.33944,0.0357,3.1
LATTICE (image+text),1,178,0.3474,0.3116,0.0358,3.1
LATTICE (image+text),1,179,0.34828,0.31241,0.03587,3.1
LATTICE (image+text),1,180,0.36325,0.3273,0.03595,3.1
LATTICE (image+text),1,181,0.34481,0.30882,0.03599,3.1
LATTICE (image+text),1,182,0.34035,0.30429,0.03607,3.1
LATTICE (image+text),1,183,0.33674,0.3006,0.03614,3.1
LATTICE (image+text),1,184,0.3358,0.29957,0.03623,3.1
LATTICE (image+text),1,185,0.3352,0.29891,0.0363,3.1
LATTICE (image+text),1,186,0.32717,0.29086,0.03631,3.1
LATTICE (image+text),1,187,0.32754,0.29112,0.03642,3.1
LATTICE (image+text),1,188,0.30961,0.27318,0.03643,3.1
LATTICE (image+text),1,189,0.30405,0.26754,0.03651,3.1
LATTICE (image+text),1,190,0.31976,0.28317,0.03659,3.2
LATTICE (image+text),2,0,103.05514,103.05343,0.0017,3.3
LATTICE (image+text),2,1,100.80575,100.80398,0.00178,3.1
LATTICE (image+text),2,2,98.24543,98.24355,0.00188,3.2
LATTICE (image+text),2,3,95.39845,95.39643,0.00202,3.1
LATTICE (image+text),2,4,92.13861,92.13642,0.00219,3.1
LATTICE (image+text),2,5,88.64996,88.64756,0.0024,3.1
LATTICE (image+text),2,6,84.85304,84.8504,0.00265,3.1
LATTICE (image+text),2,7,80.78613,80.78319,0.00294,3.1
LATTICE (image+text),2,8,76.6614,76.65814,0.00326,3.1
LATTICE (image+text),2,9,72.53715,72.53354,0.00361,3.1
